Comment,Designator,Footprint,LCSC
FS55X226K500EHG,"C1,C9",Cap_MLCC_50V_22uF_X7R_2220_C784103:Cap_MLCC_50V_22uF_X7R_2220_C784103,C784103
GRM155R71H223KA12D,C10,MLCC_Murata_50V_22nF_X7R_±10%_0402_C77023:MLCC_Murata_50V_22nF_X7R_±10%_0402_C77023,C77023
GRM188Z71C475KE21D,C11,MLCC_Murata_16V_4pt7uF_X7R_±10%_0603_C389010:C0603,C389010
GRM21BR61E106KA73L,C12,10uF_cap_GRM21BR61E106KA73L:CAPC2012X140N,C84416
CGA2B3X7R1V104KT0Y0F,"C15,C16,C17",TDK cap_100nF_35V_C0402_C343047:C0402_L1.0-W0.5-H0.5,C343047
RVT1V101M0605,C18,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830:Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,C3151830
CC0603KRX7R7BB105,"C2,C7",MLCC_16V_1uF_X7R_±10%_0603_C106248:MLCC_16V_1uF_X7R_±10%_0603_C106248,C106248
CC0603KRX7R9BB104,"C3,C8",MLCC_Yageo_50V_100nF_X7R_±10%_0603_C14663:MLCC_Yageo_50V_100nF_X7R_±10%_0603_C14663,C14663
GRM155R60J106ME15D,C4,10uF_cap_GRM155R60J106ME15D:CAPC1005X65N,C412251
GCM155R71C104KA55J,"C5,C6,C13,C14,C19,C20",100nf_cap_GCM155R71C104KA55J:CAPC1005X55N,C2655418
BAT20JFILM,"D2,D3",diode_BAT20JFILM:SOD-323,C155590
Conn_01x01_Female,"J1,J2,J3,J4,J5",Connector_PinHeader_1.00mm:PinHeader_1x01_P1.00mm_Vertical,
SolderJumper_2_Open,JP1,Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
SolderJumper_3_Open,"JP2,JP3,JP4",Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,
FTC252012S100MBCA,L1,Inductor_10uH_1pt6A_2x2pt5mm_C5832376:Inductor_10uH_1pt6A_2x2pt5mm_C5832376,C5832376
RC0402FR-075K1L,"R1,R13",5.1kR_RC0402FR-075K1L:RESC1005X40N,C105872
TC33X-2-103E,R11,10k_pot_TC33X-2-103E:TRIM_TC33X-2-103E,C719176
RL1206FR-7W0R11L,"R2,R3",Resistor_110mΩ_500mW_1206_C859923:Resistor_110mΩ_500mW_1206_C859923,C859923
RC0402FR-0733RL,"R4,R16,R17,R18",Resistor_62.5mW_50V_±1%_33Ω_0402_C138002:Resistor_62.5mW_50V_±1%_33Ω_0402_C138002,C138002
RC0402FR-0710KL,"R5,R10,R12,R19,R22,R23,R24",Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490:Resistor_62.5mW_50V_±1%_10kΩ_0402_C60490,C60490
RC0402FR-07100KL,"R6,R7",Resistor_ 100kΩ_62.5mW_50V_0402_C60491:Resistor_ 100kΩ_62.5mW_50V_0402_C60491,C60491
FRC0805F1902TS,R8,Resistor_19kΩ_0.125W_150V_0805_C2930177:Resistor_19kΩ_0.125W_150V_0805_C2930177,C2930177
0402WGF4700TCE,"R9,R14,R15",Resistor_470Ω_62p5W_0402_C25117:Resistor_470Ω_62p5W_0402_C25117,C25117
TS-1088-AR02016,"SW1,SW2",50mA_12V_1.6N__Tactile_Switches_C720477:50mA_12V_1.6N__Tactile_Switches_C720477,C720477
TestPoint,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20",TestPoint:TestPoint_Pad_1.0x1.0mm,
930-D-SMD-DS_02,"U1,U2",WECO_1x2P_13.5A_Screw_Terminal_C19273347:WECO_1x2P_13.5A_Screw_Terminal_C19273347,C19273347
ESP32-S3-MINI-1-N8,U10,ESP32-S3-MINI-1-N8_C2913206:BULETM-SMD_ESP32-S3-MINI-1-N8,C2913206
S4B-XH-SM4-TB-(LF)(SN),U11,JST_4p_S4B-XH-SM4-TB(LF)(SN)_C161861:CONN-SMD_S4B-XH-SM4-TB-LF-SN,C161861
XL-1608UBC-06A,U12,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904:Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,C7371904
USBLC6-2SC6,U3,Package_TO_SOT_SMD:SOT-23-6,C7519
TP6841S6-A,U4,Step-down_800mA_4.5V_to_40V_SOT-23-6_C2844924:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C2844924
TLV75733PDBVR,U5,LDO_1A_Fixed_3.3V_out_5.5V_in_SOT-23-5_C485517:LDO_1A_Fixed_3.3V_out_5.5V_in_SOT-23-5_C485517,C485517
AS5048A,U6,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C2655181
20N06D,U7,60V_20A_28mΩ_2.5V_1-N-channel_PDFN-8(3x3)_MOSFETs_C7543835:60V_20A_28mΩ_2.5V_1-N-channel_PDFN-8(3x3)_MOSFETs_C7543835,C7543835
NCV68061SNAIT1G,U8,MOSFET_3V~32V_TSOP-6_Gate_Drivers_C5206748:TSOP-6_L3.0-W1.5-P0.95-BL,C5206748
TMC2209-LA-T,U9,TRINAMIC_TMC2209-LA-T_C2150710:TRINAMIC_TMC2209-LA-T_C2150710,C2150710
TYPE-C16PQTWT,USB1,USB 3.1_C_3A_Surface_Mount_16P_C5187472:USB 3.1_C_3A_Surface_Mount_16P_C5187472,C5187472
